#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 2.000 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 254  1.692081  3.6041  1.4224  2.6139  3.5765 -0.0523 -1.2910 -1.8179 -2.1226
 255  1.692260  3.6011  1.3750  2.6494  3.5699 -0.0937 -1.3425 -1.8913 -2.2090
 256  1.692425  3.5982  1.3288  2.6840  3.5633 -0.1321 -1.3896 -1.9619 -2.2928
 257  1.692576  3.5953  1.2838  2.7177  3.5555 -0.1680 -1.4334 -2.0299 -2.3745
 258  1.692717  3.5925  1.2398  2.7505  3.5463 -0.2013 -1.4739 -2.0953 -2.4538
 259  1.692848  3.5898  1.1965  2.7828  3.5346 -0.2329 -1.5124 -2.1592 -2.5315
 260  1.692971  3.5872  1.1543  2.8142  3.5222 -0.2615 -1.5469 -2.2204 -2.6069
 261  1.693084  3.5845  1.1131  2.8448  3.5099 -0.2876 -1.5770 -2.2790 -2.6804
 262  1.693190  3.5819  1.0725  2.8748  3.4977 -0.3107 -1.6025 -2.3354 -2.7522
 263  1.693289  3.5793  1.0330  2.9040  3.4860 -0.3312 -1.6235 -2.3893 -2.8222
 264  1.693381  3.5767  0.9943  2.9325  3.4746 -0.3491 -1.6405 -2.4410 -2.8903
 265  1.693467  3.5742  0.9562  2.9604  3.4635 -0.3638 -1.6528 -2.4904 -2.9568
 266  1.693549  3.5716  0.9187  2.9878  3.4524 -0.3752 -1.6603 -2.5376 -3.0217
 267  1.693625  3.5691  0.8820  3.0146  3.4414 -0.3827 -1.6621 -2.5820 -3.0846
