#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 216  1.489703  3.6714  2.7147  1.5354  4.3953  1.8481  0.9569  0.6820  0.5407
 217  1.489794  3.6712  2.7098  1.5394  4.3904  1.8399  0.9477  0.6723  0.5307
 218  1.489885  3.6710  2.7049  1.5435  4.3857  1.8318  0.9385  0.6626  0.5206
 219  1.489974  3.6707  2.7001  1.5475  4.3808  1.8236  0.9292  0.6528  0.5104
 220  1.490063  3.6705  2.6950  1.5516  4.3761  1.8154  0.9198  0.6429  0.5002
 221  1.490151  3.6703  2.6901  1.5556  4.3711  1.8071  0.9105  0.6330  0.4899
 222  1.490239  3.6701  2.6852  1.5598  4.3663  1.7989  0.9011  0.6231  0.4795
 223  1.490326  3.6698  2.6801  1.5639  4.3616  1.7905  0.8916  0.6131  0.4692
 224  1.490413  3.6696  2.6751  1.5681  4.3567  1.7822  0.8821  0.6031  0.4588
 225  1.490499  3.6694  2.6701  1.5723  4.3520  1.7738  0.8726  0.5930  0.4484
 226  1.490586  3.6692  2.6650  1.5764  4.3472  1.7654  0.8632  0.5830  0.4379
 227  1.491402  3.6669  2.6144  1.6179  4.3011  1.6827  0.7687  0.4829  0.3337
 228  1.492165  3.6645  2.5650  1.6582  4.2587  1.6034  0.6777  0.3862  0.2329
 229  1.492880  3.6628  2.5275  1.6890  4.2271  1.5434  0.6084  0.3126  0.1561
 230  1.493598  3.6631  2.5325  1.6856  4.2257  1.5480  0.6151  0.3202  0.1644
 231  1.494360  3.6650  2.5655  1.6605  4.2412  1.5932  0.6700  0.3799  0.2274
 232  1.495228  3.6624  2.5106  1.7052  4.1959  1.5056  0.5690  0.2725  0.1154
 233  1.496019  3.6585  2.4323  1.7681  4.1412  1.3868  0.4292  0.1227 -0.0415
 234  1.496710  3.6547  2.3578  1.8276  4.0945  1.2768  0.2981 -0.0183 -0.1896
 235  1.497307  3.6510  2.2868  1.8841  4.0537  1.1746  0.1752 -0.1515 -0.3297
 236  1.497827  3.6475  2.2184  1.9382  4.0172  1.0780  0.0584 -0.2785 -0.4638
 237  1.498295  3.6439  2.1504  1.9918  3.9845  0.9844 -0.0559 -0.4037 -0.5962
 238  1.498699  3.6404  2.0857  2.0427  3.9561  0.8969 -0.1633 -0.5220 -0.7217
 239  1.499063  3.6369  2.0217  2.0928  3.9311  0.8127 -0.2674 -0.6377 -0.8449
 240  1.499385  3.6334  1.9592  2.1415  3.9106  0.7332 -0.3666 -0.7491 -0.9641
 241  1.499674  3.6298  1.8972  2.1894  3.8932  0.6567 -0.4625 -0.8583 -1.0817
 242  1.499935  3.6263  1.8357  2.2368  3.8778  0.5830 -0.5553 -0.9651 -1.1974
 243  1.500169  3.6228  1.7755  2.2830  3.8637  0.5125 -0.6438 -1.0686 -1.3104
 244  1.500377  3.6193  1.7172  2.3276  3.8506  0.4461 -0.7272 -1.1676 -1.4193
 245  1.500567  3.6159  1.6596  2.3715  3.8378  0.3827 -0.8069 -1.2642 -1.5264
 246  1.500736  3.6126  1.6040  2.4140  3.8256  0.3232 -0.8813 -1.3564 -1.6298
 247  1.500891  3.6093  1.5489  2.4558  3.8128  0.2661 -0.9523 -1.4465 -1.7315
 248  1.501032  3.6060  1.4954  2.4964  3.8006  0.2126 -1.0184 -1.5331 -1.8305
 249  1.501161  3.6027  1.4423  2.5364  3.7905  0.1634 -1.0790 -1.6166 -1.9275
 250  1.501277  3.5996  1.3911  2.5749  3.7819  0.1189 -1.1334 -1.6960 -2.0214
