objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272356575,132.960489248651,11.8382959143073,24.76127,22.88581,21.34949,20.1867,19.68402,0.6346402,0.1537298,0.05397203,0.02793775,0.05497836
1237671262272356573,132.995151146852,11.8471843560803,22.39073,20.21874,19.07197,18.66807,18.42982,0.1871222,0.01979079,0.01099437,0.01083734,0.02227906
1237671262272356572,132.999739430579,11.8429413125725,21.65415,18.89659,17.45892,16.74026,16.30824,0.1042746,0.00895658,0.005338179,0.005283485,0.007228866
1237671262272356563,132.994874379399,11.8340150323569,16.55642,15.10108,14.17935,14.55269,14.46553,0.008181252,0.00409586,0.00377681,0.006528964,0.006778613
1237671262272356557,133.007751465627,11.7693624490843,25.03955,24.40065,22.44625,20.89541,20.30833,1.220163,0.4862487,0.135806,0.0472728,0.1247656
1237671262272356556,133.011486169266,11.7677228903132,15.71055,14.21386,13.11739,13.02471,14.13445,0.008932808,0.003228152,0.001119648,0.001633711,0.009684945
1237671262272356537,133.010508808038,11.7504125605213,23.62628,23.7382,22.73699,22.46663,23.18536,0.4996954,0.3421738,0.1907676,0.1958548,0.4268151
1237671262272356536,133.01658006372,11.7505407593596,20.97458,18.40058,17.05321,16.49442,16.16141,0.06376967,0.006993052,0.004819368,0.00517341,0.006933275
1237671262272356535,133.012409697143,11.7510716055317,17.74524,16.31114,15.78947,15.61784,15.52533,0.01062253,0.003682163,0.003925913,0.004667868,0.005737393
1237671262272356522,132.983806199815,11.8374298035768,16.71154,14.1939,12.65222,12.374,13.72453,0.01144411,0.003958656,0.001423442,0.00240587,0.009322379
1237671262272356491,132.980571809823,11.808217252308,24.09363,22.79497,22.9142,22.53515,21.51285,0.5631679,0.1440848,0.1987537,0.1815912,0.3053728
1237671262272356488,132.981603500568,11.8105940664247,16.38641,14.89015,13.78247,13.82221,14.25967,0.008555595,0.004492226,0.002201471,0.006544316,0.007592932
1237671262272356484,132.985759333409,11.7902520336809,16.56984,15.12402,15.68261,14.62185,14.57383,0.008305596,0.004131981,0.01347522,0.006605655,0.006884565
1237671262272356483,132.991441698235,11.7774685885312,24.63709,25.29459,24.80864,22.77794,22.55752,0.6667498,0.6028278,0.6095636,0.2478445,0.4282399
1237671262272356481,132.997598689797,11.7789739132255,25.08095,25.84662,24.99142,22.69949,22.98215,0.5980077,0.4962193,0.6043915,0.2317415,0.4347266
1237671262272356480,132.991007244353,11.7822566181096,23.10229,23.94057,23.16149,22.33126,22.34822,0.3279369,0.369083,0.2508443,0.1614661,0.3797502
1237671262272356478,132.984180650302,11.7964103299954,23.70402,24.22337,23.69159,22.73759,22.05799,0.4624841,0.4370928,0.3637665,0.2139276,0.3274909
1237671262272356476,132.991311900493,11.7909244041221,25.48346,25.86587,24.70391,22.52549,21.22768,0.4397372,0.458867,0.5614058,0.1820434,0.1865781
1237671262272356473,132.989477691739,11.8037173890018,24.54521,23.94058,23.45893,22.51274,21.91756,0.6136024,0.3651533,0.3069556,0.1789259,0.3018046
1237671262272356471,132.991879072424,11.7865670025396,24.16432,25.10144,24.02668,22.15295,22.57983,0.6201211,0.6165955,0.4836555,0.145808,0.4327515
1237671262272356470,132.995360806366,11.7768509400705,24.5877,24.16162,22.06062,22.57394,22.93823,0.6569205,0.4499789,0.1047121,0.2111761,0.4335496
1237671262272356460,132.98598599692,11.8018924178021,22.92163,21.11077,21.59391,24.3618,22.08374,0.3379163,0.07067807,0.06807391,0.5588163,0.352923
1237671262272356458,132.991088150175,11.8082688831937,24.43039,21.65668,20.21135,18.90824,18.15042,0.6172923,0.05596481,0.0226182,0.01211853,0.01829343
1237671262272356457,132.992246273067,11.8064451204342,20.05601,19.17364,18.80271,18.69885,18.60966,0.03568787,0.0104497,0.009483354,0.01083072,0.02463786
1237671262272356456,132.994222638138,11.7760476131263,23.42349,20.99322,19.52935,18.62209,18.11298,0.4002679,0.03449307,0.01455952,0.01056813,0.01820181
1237671262272356455,132.994897973405,11.8094032208287,20.6556,18.28144,17.3133,16.99575,16.80624,0.05182844,0.006702131,0.005120655,0.005657491,0.008878394
1237671262272356454,132.98641933641,11.7818124988287,19.65563,17.27472,16.19189,15.78436,15.5336,0.02831287,0.004676922,0.00406367,0.004640513,0.005691203
1237671262272356453,132.992056173717,11.8044347943902,18.78385,16.60339,15.6918,15.36505,15.16891,0.01753477,0.00389905,0.003803373,0.004447664,0.005207724
1237671262272356452,132.994965122203,11.8040991705627,17.81768,15.95491,15.27122,15.0708,14.96477,0.01090967,0.003512687,0.003681236,0.004408991,0.005024096
1237671262272356451,132.993802910661,11.7813666965413,15.38479,15.19034,12.05159,12.23411,12.55434,0.009129765,0.01033808,0.0006386114,0.001514005,0.004381044
1237671262272356450,132.985574329759,11.8034608157093,16.35619,15.02228,16.04908,15.62274,14.44265,0.008768364,0.004810915,0.01561517,0.03123585,0.007883145
1237671262272356443,132.991103332762,11.7627402115514,17.76535,15.88674,15.15866,14.87865,14.69985,0.01073615,0.00349308,0.003684828,0.004389953,0.004828832
1237671262272356442,132.99330118219,11.7634709770473,23.86765,23.9463,23.69054,22.57762,22.35423,0.5106505,0.3671384,0.3676577,0.1906137,0.3682191
1237671262272356441,132.990696077665,11.7601027419755,25.18704,22.25183,20.82529,20.04776,19.55864,0.5191007,0.09194781,0.03577711,0.02504896,0.04816061
1237671262272356438,132.995070894242,11.7367497830815,21.8888,19.3395,18.10727,17.59332,17.28596,0.1232332,0.01232641,0.006959534,0.006822566,0.01124094
1237671262272356437,132.996074469664,11.7354872678409,18.54467,17.06602,16.50297,16.31332,16.12385,0.01571184,0.004381306,0.004324268,0.005041247,0.006779684
1237671262272356432,132.9715244728,11.8298081661287,18.3448,16.47055,15.75929,15.50247,15.29296,0.01405246,0.003807656,0.003758428,0.004403601,0.005273804
1237671262272356431,132.974905363127,11.8292131951458,24.8094,25.41696,23.70668,24.40566,23.11661,0.7292762,0.6255928,0.4283789,0.6407431,0.5105793
1237671262272356430,132.973876636301,11.8252341581626,24.58652,24.20717,23.53909,24.3504,23.11937,0.6121183,0.4270528,0.3294248,0.4908166,0.3934843
